epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,13329.5,1.41051,0.68886,0.86442,0.91978,0.82254,0.90683,0.56195,1.27,0.77957,0.84591,0.0093565,0.0093565,0.0093565
67,13527.9,1.42555,0.69464,0.86597,0.91308,0.81954,0.9046,0.56338,1.26451,0.74221,0.84557,0.0093466,0.0093466,0.0093466
68,13730.6,1.42523,0.69759,0.86646,0.91426,0.82268,0.90503,0.56376,1.27466,0.77066,0.84742,0.0093367,0.0093367,0.0093367
69,13934.8,1.43168,0.70281,0.86587,0.9095,0.81941,0.90724,0.56384,1.28331,0.76034,0.8481,0.0093268,0.0093268,0.0093268
70,14138,1.42731,0.69848,0.86557,0.90803,0.8276,0.90765,0.56999,1.28026,0.747,0.84624,0.0093169,0.0093169,0.0093169
71,14341.3,1.42273,0.69297,0.86574,0.9167,0.82295,0.90862,0.56954,1.27587,0.74899,0.84596,0.009307,0.009307,0.009307
72,14542.5,1.40704,0.68656,0.86251,0.91164,0.83058,0.91023,0.5718,1.25982,0.77632,0.845,0.0092971,0.0092971,0.0092971
73,14746.4,1.41926,0.69395,0.86492,0.91702,0.83072,0.91194,0.57408,1.26757,0.72869,0.84468,0.0092872,0.0092872,0.0092872
74,14945.1,1.40887,0.68418,0.86115,0.91108,0.82527,0.90861,0.56934,1.26866,0.70333,0.84585,0.0092773,0.0092773,0.0092773
75,15150,1.41235,0.68822,0.8632,0.9074,0.82274,0.90845,0.5659,1.26545,0.72503,0.84481,0.0092674,0.0092674,0.0092674
76,15347.6,1.40512,0.68553,0.8632,0.91581,0.81845,0.90761,0.56614,1.25685,0.72642,0.84537,0.0092575,0.0092575,0.0092575
77,15552.2,1.40778,0.68274,0.86128,0.92036,0.82568,0.91364,0.5739,1.24953,0.73792,0.84271,0.0092476,0.0092476,0.0092476
78,15755.6,1.40397,0.68288,0.86032,0.91867,0.82213,0.91145,0.57119,1.26091,0.73264,0.84524,0.0092377,0.0092377,0.0092377
79,15960.1,1.39839,0.67921,0.86136,0.92454,0.82654,0.91215,0.57516,1.25484,0.75964,0.84429,0.0092278,0.0092278,0.0092278
80,16161.9,1.40796,0.68471,0.86052,0.91727,0.82961,0.91421,0.57354,1.25951,0.75296,0.84684,0.0092179,0.0092179,0.0092179
81,16373.9,1.40842,0.69018,0.86168,0.91552,0.83154,0.9127,0.57174,1.26336,0.76118,0.84447,0.009208,0.009208,0.009208
82,16580.3,1.40853,0.67997,0.86309,0.92205,0.82867,0.91474,0.57739,1.25283,0.74093,0.84284,0.0091981,0.0091981,0.0091981
83,16781.3,1.40094,0.67481,0.86244,0.91712,0.8325,0.9142,0.57755,1.25503,0.73632,0.84508,0.0091882,0.0091882,0.0091882
84,16987.9,1.39757,0.67931,0.86233,0.91522,0.83358,0.91235,0.57795,1.24186,0.70982,0.84271,0.0091783,0.0091783,0.0091783
85,17190.3,1.39575,0.68061,0.86195,0.9227,0.83249,0.91518,0.57735,1.2329,0.7025,0.84064,0.0091684,0.0091684,0.0091684
86,17398.8,1.3908,0.66917,0.8585,0.92001,0.83243,0.91445,0.57587,1.23748,0.70652,0.84208,0.0091585,0.0091585,0.0091585
87,17601.6,1.39406,0.67326,0.86237,0.92532,0.82406,0.91296,0.57357,1.2466,0.73442,0.84264,0.0091486,0.0091486,0.0091486
88,17805.8,1.39589,0.67513,0.86009,0.91282,0.83195,0.91249,0.57545,1.24026,0.74172,0.8407,0.0091387,0.0091387,0.0091387
89,18007.2,1.39643,0.6726,0.85968,0.9189,0.8308,0.9144,0.57718,1.24231,0.74294,0.84173,0.0091288,0.0091288,0.0091288
90,18221.2,1.39111,0.67422,0.85928,0.91804,0.82744,0.912,0.5769,1.232,0.7258,0.84053,0.0091189,0.0091189,0.0091189
91,18423.8,1.39003,0.66927,0.86125,0.9174,0.83372,0.91314,0.5773,1.2329,0.71407,0.84058,0.009109,0.009109,0.009109
